"","T_BIOME","WP","MP","PP","NP","Total","EPLI"
"1","Albany Thicket",8,12,14,10,44,0.46969696969697
"2","Azonal Vegetation",5,2,7,4,18,0.481481481481481
"3","Desert",7,0,2,6,15,0.511111111111111
"4","Forests",11,1,0,0,12,0.972222222222222
"5","Fynbos",38,14,49,25,126,0.505291005291005
"6","Grassland",12,2,36,23,73,0.34703196347032
"7","Indian Ocean Coastal Belt",0,2,2,2,6,0.333333333333333
"8","Nama-Karoo",1,3,3,6,13,0.307692307692308
"9","Savanna",26,19,32,17,94,0.524822695035461
"10","Succulent Karoo",12,9,14,29,64,0.354166666666667
"11","Total",120,64,159,122,465,0.463799283154122
