"","T_BIOME","WP","MP","PP","NP","Total"
"1","Total",95130.25,159459.13,371624.4,319918.43,946132.21
"2","Succulent Karoo",3811.79,16196.01,25464.23,28719.86,74191.89
"3","Savanna",44421.81,95344.16,110662.5,63809.03,314237.5
"4","Nama-Karoo",601.39,20553.86,72796.41,150013.08,243964.74
"5","Indian Ocean Coastal Belt",0,1233.6,1540.32,1083.83,3857.75
"6","Grassland",12937.74,825.92,122370.26,57344.12,193478.04
"7","Fynbos",22783.93,4342.56,20880.2,6783.38,54790.07
"8","Forests",2915.34,884.35,0,0,3799.69
"9","Desert",1559,0,507,4065.62,6131.62
"10","Azonal Vegetation",1131.01,3898.28,9916.7,5075.3,20021.29
"11","Albany Thicket",4968.24,16180.39,7486.78,3024.21,31659.62
