"","T_MAPCODE","tar_sa","tar_gbf","ext_veg","ext_vegpa18","ext_vegrempa18","ext_invpa18","prp_pa_base18","ext_tar_sa","ext_tar_gbf","epl_base18","epl_nat18","ext_vegrempa_inv18","epl_nat_inv18"
"1","FFd7",32,30,247.4448,31.7484,30.3204,0.6428,0.12830497953483,79.182336,74.23344,"PP","PP",29.87044,"PP"
"2","AT34",19,30,167.5268,0,0,0,0,31.830092,50.25804,"NP","NP",0,"NP"
"3","AT50",19,30,577.5424,222.0344,209.522,2.7412,0.38444692545517,109.733056,173.26272,"WP","WP",207.60316,"WP"
"4","AT51",19,30,1963.4028,240.7096,214.5608,2.3932,0.122598174964404,373.046532,589.02084,"MP","MP",212.88556,"MP"
"5","AT36",19,30,51.4116,39.8748,25.2856,8.0212,0.775599281096095,9.768204,15.42348,"WP","WP",19.67076,"WP"
"6","FS13",36,30,41.644,34.4868,30.3988,5.3284,0.828133704735376,14.99184,12.4932,"WP","WP",26.66892,"WP"
"7","AT40",19,30,596.3172,17.6224,13.3652,0.5312,0.0295520571937217,113.300268,178.89516,"PP","PP",12.99336,"PP"
"8","FFl3",32,30,791.6736,13.948,12.4512,1.5868,0.0176183720159419,253.335552,237.50208,"PP","NP",11.34044,"NP"
"9","FFd9",32,30,517.29,35.6828,29.9876,8.6112,0.0689802625219896,165.5328,155.187,"PP","PP",23.95976,"PP"
"10","FFd11",36,30,76.61,4.7152,1.9536,0.7352,0.0615481007701345,27.5796,22.983,"PP","PP",1.43896,"PP"
"11","FFs20",23,30,2298.4988,833.7224,809.924,290.464,0.362724748866521,528.654724,689.54964,"WP","WP",606.5992,"WP"
"12","AT57",19,30,137.0648,3.5176,3.08,0.2888,0.0256637736311584,26.042312,41.11944,"PP","PP",2.87784,"PP"
"13","AT54",19,30,187.7204,109.8604,109.1112,13.0668,0.585234210027253,35.666876,56.31612,"WP","WP",99.96444,"WP"
"14","AT19",19,30,1077.8672,378.8068,369.5808,8.4528,0.351441068064786,204.794768,323.36016,"WP","WP",363.66384,"WP"
"15","AT25",19,30,2128.9656,287.0744,284.3148,0.0396,0.134842197544197,404.503464,638.68968,"MP","MP",284.28708,"MP"
"16","AT27",19,30,1239.9792,401.2496,399.098,1.0592,0.32359381512206,235.596048,371.99376,"WP","WP",398.35656,"WP"
"17","AT29",19,30,784.614,622.8,615.036,0.4692,0.793766106646071,149.07666,235.3842,"WP","WP",614.70756,"WP"
"18","AT33",19,30,491.8056,22.2236,21.8576,0,0.0451877733803763,93.443064,147.54168,"PP","PP",21.8576,"PP"
"19","AT43",19,30,286.2032,1.27,1.2692,0,0.00443740670963847,54.378608,85.86096,"NP","NP",1.2692,"NP"
"20","AT46",19,30,571.8576,134.9028,132.5896,0.1008,0.23590278418963,108.652944,171.55728,"WP","WP",132.51904,"WP"
"21","AT49",19,30,5647.1168,1104.2188,1056.4228,0.0048,0.19553673832282,1072.952192,1694.13504,"WP","MP",1056.41944,"MP"
"22","AT55",19,30,760.3872,51.1892,49.898,0.0376,0.0673199128023197,144.473568,228.11616,"PP","PP",49.87168,"PP"
"23","AT58",19,30,2252.3448,2.7784,2.772,0,0.00123355891158405,427.945512,675.70344,"NP","NP",2.772,"NP"
"24","AT26",19,30,40.4824,0.8448,0.6348,0.4616,0.0208683279647452,7.691656,12.14472,"PP","PP",0.31168,"NP"
"25","AT37",19,30,176.6464,1.7776,1.58,0.0324,0.0100630411941596,33.562816,52.99392,"PP","NP",1.55732,"NP"
"26","FS14",36,30,96.9252,10.5144,9.7496,4.064,0.10847952854366,34.893072,29.07756,"PP","PP",6.9048,"PP"
"27","FRs19",29,30,373.15,0.1452,0.1428,0.0236,0.000389119656974407,108.2135,111.945,"NP","NP",0.12628,"NP"
"28","AZa6",31,30,653.4064,58.6736,39.0852,0.932,0.0897964880662326,202.555984,196.02192,"PP","PP",38.4328,"PP"
"29","AZd2",26,30,13.216,1.0888,1.0884,0,0.0823849878934625,3.43616,3.9648,"PP","PP",1.0884,"PP"
"30","AZd3",20,30,220.2732,136.5816,135.5416,0.1304,0.620055458403474,44.05464,66.08196,"WP","WP",135.45032,"WP"
"31","AZa2",31,30,350.796,7.3628,4.9068,1.6628,0.0209888368168394,108.74676,105.2388,"PP","NP",3.74284,"NP"
"32","AZi1",24,30,1363.9048,113.1096,109.438,0,0.0829307148123535,327.337152,409.17144,"PP","PP",109.438,"PP"
"33","AZa1",31,30,18.7044,17.8228,17.5356,1.942,0.952866705160283,5.798364,5.61132,"WP","WP",16.1762,"WP"
"34","AZi5",24,30,5176.9952,0,0,0,0,1242.478848,1553.09856,"NP","NP",0,"NP"
"35","AZi6",24,30,5302.936,650.2856,557.0132,0.3704,0.122627465238125,1272.70464,1590.8808,"MP","PP",556.75392,"PP"
"36","AZi7",19,30,2130.1056,442.1284,401.3156,0,0.207561728395062,404.720064,639.03168,"WP","MP",401.3156,"MP"
"37","AZi8",16,30,407.1792,3.404,1.2044,0.1492,0.00835995551835654,65.148672,122.15376,"PP","NP",1.09996,"NP"
"38","FOz6",21,30,185.2344,93.606,88.6096,0.2448,0.505338101346186,38.899224,55.57032,"WP","WP",88.43824,"WP"
"39","FOz1",22,30,788.0828,498.302,432.5756,22.4864,0.63229650488502,173.378216,236.42484,"WP","WP",416.83512,"WP"
"40","FFs19",23,30,1571.0644,612.2428,503.6624,142.96,0.389699365602072,361.344812,471.31932,"WP","WP",403.5904,"WP"
"41","FFt2",23,30,211.1624,23.0288,22.662,4.532,0.109057294291029,48.567352,63.34872,"PP","PP",19.4896,"PP"
"42","FFd2",29,30,2055.6608,51.098,16.45,0.774,0.0248572137971401,596.141632,616.69824,"PP","NP",15.9082,"NP"
"43","FFb4",27,30,61.9624,43.7064,43.3796,6.1344,0.70536970808103,16.729848,18.58872,"WP","WP",39.08552,"WP"
