"","T_MAPCODE","tar_sa","tar_gbf","ext_veg","ext_vegpa","ext_vegrempa_inclinv","ext_vegrempa_exclinv","prppa","ext_tar_sa","ext_tar_gbf","epl_base","epl_nat","epl_nat_exclinv"
"1","FFd7",32,30,247.4448,31.7484,30.2464,29.6036,0.12830497953483,79.182336,74.23344,"PP","PP","PP"
"2","AT34",19,30,167.5268,0,0,0,0,31.830092,50.25804,"NP","NP","NP"
"3","AT50",19,30,577.5424,222.0344,209.4652,206.7244,0.38444692545517,109.733056,173.26272,"WP","WP","WP"
"4","AT51",19,30,1963.4028,241.0732,214.6088,212.2156,0.122783363658237,373.046532,589.02084,"MP","MP","MP"
"5","AT36",19,30,51.4116,39.8792,25.1096,17.1236,0.775684864894304,9.768204,15.42348,"WP","WP","WP"
"6","FS13",36,30,41.644,34.4868,30.3376,25.0252,0.828133704735376,14.99184,12.4932,"WP","WP","WP"
"7","AT40",19,30,596.3172,17.6224,13.3424,12.8132,0.0295520571937217,113.300268,178.89516,"PP","PP","PP"
"8","FFl3",32,30,791.6736,13.948,12.434,10.858,0.0176183720159419,253.335552,237.50208,"PP","NP","NP"
"9","FFd9",32,30,517.29,35.6828,29.9332,21.356,0.0689802625219896,165.5328,155.187,"PP","PP","PP"
"10","FFd11",36,30,76.61,4.7152,1.9408,1.2056,0.0615481007701345,27.5796,22.983,"PP","PP","NP"
"11","FFs20",23,30,2298.4988,833.7224,808.9996,519.2848,0.362724748866521,528.654724,689.54964,"WP","WP","MP"
"12","AT57",19,30,137.0648,4.416,3.9352,3.6432,0.0322183376038195,26.042312,41.11944,"PP","PP","PP"
"13","AT54",19,30,187.7204,109.8604,109.1052,96.0384,0.585234210027253,35.666876,56.31612,"WP","WP","WP"
"14","AT19",19,30,1077.8672,378.8068,369.4044,360.9536,0.351441068064786,204.794768,323.36016,"WP","WP","WP"
"15","AT25",19,30,2128.9656,287.0744,284.1652,284.1256,0.134842197544197,404.503464,638.68968,"MP","MP","MP"
"16","AT27",19,30,1239.9792,401.2496,398.9264,397.8672,0.32359381512206,235.596048,371.99376,"WP","WP","WP"
