"","T_MAPCODE","T_BIOME","tar_sa","tar_gbf","ext_veg","ext_vegrem","ext_vegpa24","ext_vegrempa24","ext_invpa24","prp_pa_base24","ext_tar_sa","ext_tar_gbf","epl_base24","epl_nat24","ext_vegrempa_inv24","epl_nat_inv24"
"1","FFd7","Fynbos",32,30,247.4448,119.5484,31.7484,30.2464,0.6428,0.12830497953483,79.182336,74.23344,"PP","PP",29.79644,"PP"
"2","AT34","Albany Thicket",19,30,167.5268,161.674,0,0,0,0,31.830092,50.25804,"NP","NP",0,"NP"
"3","AT50","Albany Thicket",19,30,577.5424,515.4424,222.804,210.2296,2.7408,0.385779468312629,109.733056,173.26272,"WP","WP",208.31104,"WP"
"4","AT51","Albany Thicket",19,30,1963.4028,1693.7084,241.0732,214.6088,2.3932,0.122783363658237,373.046532,589.02084,"MP","MP",212.93356,"MP"
"5","AT36","Albany Thicket",19,30,51.4116,29.7644,39.8792,25.1096,7.986,0.775684864894304,9.768204,15.42348,"WP","WP",19.5194,"WP"
"6","FS13","Fynbos",36,30,41.644,35.1444,34.4868,30.3376,5.3124,0.828133704735376,14.99184,12.4932,"WP","WP",26.61892,"WP"
"7","AT40","Albany Thicket",19,30,596.3172,463.16,17.6224,13.3424,0.5292,0.0295520571937217,113.300268,178.89516,"PP","PP",12.97196,"PP"
"8","FFl3","Fynbos",32,30,791.6736,622.3644,13.948,12.434,1.576,0.0176183720159419,253.335552,237.50208,"PP","NP",11.3308,"NP"
"9","FFd9","Fynbos",32,30,517.29,264.1432,35.6828,29.9332,8.5772,0.0689802625219896,165.5328,155.187,"PP","PP",23.92916,"PP"
"10","FFd11","Fynbos",36,30,76.61,60.0188,4.7152,1.9408,0.7352,0.0615481007701345,27.5796,22.983,"PP","PP",1.42616,"PP"
"11","FFs20","Fynbos",23,30,2298.4988,1567.7116,833.7224,808.9996,289.7148,0.362724748866521,528.654724,689.54964,"WP","WP",606.19924,"WP"
"12","AT57","Albany Thicket",19,30,137.0648,105.5096,4.416,3.9352,0.292,0.0322183376038195,26.042312,41.11944,"PP","PP",3.7308,"PP"
"13","AT54","Albany Thicket",19,30,187.7204,184.8992,109.8604,109.1052,13.0668,0.585234210027253,35.666876,56.31612,"WP","WP",99.95844,"WP"
"14","AT19","Albany Thicket",19,30,1077.8672,1061.8264,378.8068,369.4044,8.4508,0.351441068064786,204.794768,323.36016,"WP","WP",363.48884,"WP"
