"","T_MAPCODE","BIOME","T_CNSRV_TRGT","type_tot_km2","gbf_tar_km2","sa_tar_km2","panat1990","panat2000","panat2010","panat2015","panat2018","panat2020","panat2022","panat2023","prop_panat_2018","prop_panat_2023","epl_2018","epl_2023"
"1","AT15","Albany Thicket",19,14.6008,4.38024,2.774152,0.2768,0.2768,0.2768,0.2768,0.276,0.276,0.276,0.276,0.0189030738041751,0.0189030738041751,"PP","PP"
"2","AT16","Albany Thicket",19,53.7692,16.13076,10.216148,0.9344,0.9344,0.9344,0.9344,2.6864,2.6836,2.6836,2.6836,0.0499616881039703,0.0499096136821824,"PP","PP"
"3","AT17","Albany Thicket",19,729.2028,218.76084,138.548532,44.678,44.678,44.5772,44.5772,124.954,124.8904,124.8788,124.8788,0.171356994240834,0.171253867922614,"MP","MP"
"4","AT18","Albany Thicket",19,1175.6312,352.68936,223.369928,56.4076,57.3164,56.9308,56.9308,175.3712,175.2996,175.278,175.278,0.149171951203745,0.149092674641503,"MP","MP"
"5","AT19","Albany Thicket",19,1077.8672,323.36016,204.794768,143.9756,278.2384,329.4728,350.9432,369.5808,369.4436,369.4044,369.4044,0.342881572052661,0.342717915527998,"WP","WP"
"6","AT20","Albany Thicket",19,35.5164,10.65492,6.748116,0.3044,0.3044,0.3044,0.3044,0.2924,0.2924,0.2924,0.2924,0.00823281638904844,0.00823281638904844,"NP","NP"
"7","AT21","Albany Thicket",19,386.3068,115.89204,73.398292,8.0328,8.0332,8.018,8.018,7.9676,9.514,9.5092,9.5092,0.0206250575967081,0.0246156681684091,"PP","PP"
"8","AT22","Albany Thicket",19,215.488,64.6464,40.94272,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,1.2993762993763e-05,1.2993762993763e-05,"NP","NP"
"9","AT23","Albany Thicket",19,311.1928,93.35784,59.126632,32.12,32.12,32.12,32.12,54.1,54.0848,54.0752,54.0752,0.173847209832618,0.173767516472103,"MP","MP"
"10","AT24","Albany Thicket",19,2976.1348,892.84044,565.465612,87.1684,87.1684,87.0584,87.0584,86.8372,86.8168,86.8108,86.8108,0.0291778450357827,0.0291689744698392,"PP","PP"
"11","AT25","Albany Thicket",19,2128.9656,638.68968,404.503464,4.2884,4.2884,4.2884,7.3268,284.3148,284.2784,284.1652,284.1652,0.133545981203266,0.133475712336545,"MP","MP"
"12","AT26","Albany Thicket",19,40.4824,12.14472,7.691656,0.6724,0.6724,0.6468,0.6468,0.6348,1.0064,1.0064,1.0064,0.0156808884848724,0.024860186154971,"PP","PP"
"13","AT27","Albany Thicket",19,1239.9792,371.99376,235.596048,120.774,120.774,126.3704,126.3704,399.098,399.028,398.9264,398.9264,0.321858624725318,0.321720235307173,"WP","WP"
