"","T_MAPCODE","BIOME","T_CNSRV_TRGT","type_tot_km2","gbf_tar_km2","sa_tar_km2","panatsecnat1990","panatsecnat2000","panatsecnat2010","panatsecnat2015","panatsecnat2018","panatsecnat2020","panatsecnat2022","panatsecnat2023","prop_panatsecnat_2018","prop_panatsecnat_2023","epl_2018_natsecnat","epl_2023_natsecnat"
"1","AT15","Albany Thicket",19,14.6008,4.38024,2.774152,0.2768,0.2768,0.2872,0.2872,0.2864,0.2868,0.2868,0.2868,0.0196153635417237,0.0196427593008602,"PP","PP"
"2","AT16","Albany Thicket",19,53.7692,16.13076,10.216148,0.9344,0.9344,0.9344,0.9344,2.704,2.7068,2.7096,2.7096,0.0502890130409231,0.0503931618844989,"PP","PP"
"3","AT17","Albany Thicket",19,729.2028,218.76084,138.548532,45.8552,45.8552,46.7932,46.7932,132.0332,132.024,132.0336,132.0336,0.181065130303943,0.181065678848189,"MP","MP"
"4","AT18","Albany Thicket",19,1175.6312,352.68936,223.369928,59.5516,60.8228,61.0364,61.0364,181.8664,181.7224,181.6432,181.6432,0.154696813082198,0.154506957624126,"MP","MP"
"5","AT19","Albany Thicket",19,1077.8672,323.36016,204.794768,144.2496,278.7168,330.1768,351.6804,373.2988,373.9804,374.0688,374.0688,0.346330976580417,0.347045350299183,"WP","WP"
"6","AT20","Albany Thicket",19,35.5164,10.65492,6.748116,0.3044,0.3044,0.3132,0.3132,0.306,0.306,0.306,0.306,0.00861573808156232,0.00861573808156232,"NP","NP"
"7","AT21","Albany Thicket",19,386.3068,115.89204,73.398292,8.0328,8.0332,8.0848,8.0848,8.2596,10.3732,10.0108,10.0108,0.0213809334963816,0.025914118001547,"PP","PP"
"8","AT22","Albany Thicket",19,215.488,64.6464,40.94272,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,1.2993762993763e-05,1.2993762993763e-05,"NP","NP"
"9","AT23","Albany Thicket",19,311.1928,93.35784,59.126632,32.4176,32.4176,32.424,32.424,54.4916,54.5076,54.526,54.526,0.175105593702682,0.175216136105977,"MP","MP"
"10","AT24","Albany Thicket",19,2976.1348,892.84044,565.465612,88.0824,88.0824,88.018,88.018,87.9988,87.9608,88.0288,88.0288,0.0295681499372945,0.0295782301258666,"PP","PP"
"11","AT25","Albany Thicket",19,2128.9656,638.68968,404.503464,4.2884,4.2884,4.2884,7.3268,285.6272,285.6212,285.4316,285.4316,0.134162430806773,0.134070555202959,"MP","MP"
"12","AT26","Albany Thicket",19,40.4824,12.14472,7.691656,0.6724,0.6724,0.6548,0.6548,0.668,1.0392,1.0396,1.0396,0.0165009979645476,0.0256802956346462,"PP","PP"
"13","AT27","Albany Thicket",19,1239.9792,371.99376,235.596048,120.774,120.774,126.3732,126.3732,399.9952,399.9644,399.8388,399.8388,0.322582185249559,0.322456054101553,"WP","WP"
"14","AT28","Albany Thicket",19,1030.5104,309.15312,195.796976,41.6296,41.6296,41.776,61.0316,76.6392,76.6164,76.6364,76.6364,0.0743701373610591,0.0743674202608727,"PP","PP"
"15","AT29","Albany Thicket",19,784.614,235.3842,149.07666,7.3476,7.3476,8.522,8.522,619.048,619.2648,618.9804,618.9804,0.788984137422988,0.788897980408201,"WP","WP"
"16","AT30","Albany Thicket",19,674.0584,202.21752,128.071096,27.5948,27.5948,27.604,27.604,136.0248,136.1228,136.1568,136.1568,0.201799725365043,0.201995554094423,"WP","WP"
"17","AT31","Albany Thicket",19,240.8016,72.24048,45.752304,6.5236,6.5236,6.524,6.524,6.5232,6.524,6.5236,6.5236,0.0270895209998605,0.0270911821183912,"PP","PP"
"18","AT32","Albany Thicket",19,3596.184,1078.8552,683.27496,188.264,188.264,188.3388,221.1452,513.7844,513.3516,513.3584,513.3584,0.142869330379091,0.142750871479324,"MP","MP"
"19","AT33","Albany Thicket",19,491.8056,147.54168,93.443064,0.1168,18.0024,21.9192,21.9192,22.1052,22.0924,21.9004,21.9004,0.0449470278500285,0.0445306031488865,"PP","PP"
"20","AT34","Albany Thicket",19,167.5268,50.25804,31.830092,0,0,0,0,0,0,0,0,0,0,"NP","NP"
"21","AT35","Albany Thicket",19,30.1476,9.04428,5.728044,0,0,0,0,8.4288,8.3128,8.3288,8.3288,0.279584444532898,0.276267430906606,"WP","WP"
"22","AT36","Albany Thicket",19,51.4116,15.42348,9.768204,25.9868,27.6156,30.8672,30.8672,28.5356,28.612,28.5236,28.5236,0.555042052766302,0.55480864240755,"WP","WP"
"23","AT37","Albany Thicket",19,176.6464,52.99392,33.562816,1.438,1.6544,1.7588,1.7588,1.7132,1.7096,1.7096,1.7096,0.00969847106988877,0.00967809137350096,"PP","PP"
"24","AT38","Albany Thicket",19,1290.854,387.2562,245.26226,8.1592,8.1592,8.2432,8.2432,151.9332,152.1248,150.9912,150.9912,0.117699755355757,0.116970005903069,"MP","MP"
"25","AT39","Albany Thicket",19,245.8596,73.75788,46.713324,22.8412,22.8412,24.1616,24.1616,24.2844,24.238,24.236,24.236,0.0987734463083809,0.0985765859864736,"MP","MP"
"26","AT40","Albany Thicket",19,596.3172,178.89516,113.300268,5.3468,17.094,16.548,16.548,17.0504,16.998,16.9664,16.9664,0.0285928361616938,0.0284519715346128,"PP","PP"
"27","AT41","Albany Thicket",19,307.5216,92.25648,58.429104,42.0552,42.0552,44.302,44.302,52.998,52.8608,52.8916,52.8916,0.172339113740303,0.171993121783966,"MP","MP"
"28","AT42","Albany Thicket",19,59.8564,17.95692,11.372716,0,0,0,0,0,0,0,0,0,0,"NP","NP"
"29","AT43","Albany Thicket",19,286.2032,85.86096,54.378608,1.2416,1.2416,1.27,1.27,1.2692,1.2696,1.27,1.27,0.0044346114928135,0.00443740670963847,"NP","NP"
"30","AT44","Albany Thicket",19,163.4576,49.03728,31.056944,0,0.0368,0.0368,0.0368,0.0368,0.0368,0.0308,0.0308,0.000225134836189935,0.000188428069419837,"NP","NP"
"31","AT45","Albany Thicket",19,697.0252,209.10756,132.434788,12.8532,12.8532,12.9712,12.9712,125.7248,125.2752,125.2964,125.2964,0.180373392525837,0.179758780600759,"MP","MP"
"32","AT46","Albany Thicket",19,571.8576,171.55728,108.652944,15.6272,56.8852,133.7748,133.8376,134.6692,156.0676,155.7924,155.7924,0.235494290886402,0.272432157935822,"WP","WP"
"33","AT47","Albany Thicket",19,910.5756,273.17268,173.009364,33.202,33.202,33.2096,33.2096,40.1956,40.1976,40.124,40.124,0.0441430673081949,0.0440644357261495,"PP","PP"
"34","AT48","Albany Thicket",19,20.3768,6.11304,3.871592,0,0,0,0,0,0,0,0,0,0,"NP","NP"
"35","AT49","Albany Thicket",19,5647.1168,1694.13504,1072.952192,387.1636,387.6692,397.2308,864.2888,1078.4108,1077.138,1076.0732,1076.0732,0.190966618576049,0.190552672825892,"WP","WP"
"36","AT50","Albany Thicket",19,577.5424,173.26272,109.733056,209.9524,210.8156,213.4548,214.074,214.9372,214.8044,214.8556,214.8556,0.372158303875179,0.372017015547257,"WP","WP"
"37","AT51","Albany Thicket",19,1963.4028,589.02084,373.046532,176.8132,217.3068,217.4312,217.4312,218.2836,218.4792,218.5192,218.5192,0.11117616823201,0.11129616398632,"MP","MP"
