"","BIOME","Nat","Notnat","TOTAL","prop_nat"
"1","Albany Thicket",31659.6076,3417.0372,35076.6448,0.902583692953438
"2","Azonal",20021.2772,4779.494,24800.7712,0.807284460573549
"3","Desert",6131.6308,130.8344,6262.4652,0.979108163347558
"4","Forest",3893.1208,832.7824,4725.9032,0.823783441015042
"5","Fynbos",54790.0728,27136.3204,81926.3932,0.66877193856497
"6","Grassland",193478.0376,140423.5044,333901.542,0.579446373446218
"7","IOCB",3857.7484,7833.4176,11691.166,0.329971227848446
"8","Nama-Karoo",243964.75,5395.9532,249360.7032,0.978360851847325
"9","Savanna",314237.4916,78522.2904,392759.782,0.800075532173505
"10","Succulent Karoo",74191.8784,4016.3312,78208.2096,0.948645657271254
"11","TOTAL",946225.6152,272487.9652,1218713.5804,0.776413449737251
