"","BIOME","1990","2000","2010","2015","2018","2020","2022","2023"
"1","Albany Thicket",1988.0236,2253.8724,2427.0548,2978.0476,5349.4216,5395.8516,5395.856,5395.856
"2","Azonal",1800.9936,2298.7884,2452.9528,2520.1584,3055.9892,3149.4364,3153.7476,3153.7476
"3","Forest",1326.632,1796.9996,1846.696,1886.3736,1890.3532,1929.8704,1938.1652,1939.5328
"4","Fynbos",12357.738,14870.4568,17874.7344,18235.56,18539.8968,18599.3412,18619.5844,18619.5844
"5","Grassland",8016.8952,10241.33,11573.0016,13121.4992,15947.556,16324.8548,16997.4556,17282.1736
"6","IOCB",210.4568,820.5296,820.6948,824.1324,829.3428,832.468,843.6524,843.6524
"7","Nama-Karoo",1989.8712,2290.0756,2379.0444,2689.9304,7455.4568,9079.2964,9146.7856,9146.7856
"8","Savanna",44462.5532,48065.3848,49230.454,50302.7072,54159.988,55243.5428,55393.6184,55758.3544
"9","Succulent Karoo",1842.8244,2646.7448,4905.7736,5771.9428,5815.4832,5977.7092,6123.6096,6123.6096
"10","Desert",0,1153.7236,1600.4896,1600.4896,1630.3984,1666.8308,1666.8308,1666.8308
"11","TOTAL",73995.988,86437.9056,95110.896,99930.8412,114673.886,118199.2016,119279.3056,119930.1272
